code,pose,category,intent,filepath,max_length,min_length,cluster,split
cylinder_bottle_s640,003505_hold_s15640,cylinder_bottle,hold,data/oakink_shadow_dataset_valid_force_noise_accept_1/cylinder_bottle_s640/003505_hold_s15640.json,0.277715,0.0916218,15,train
cylinder_bottle_s640,000582_hold_s15640,cylinder_bottle,hold,data/oakink_shadow_dataset_valid_force_noise_accept_1/cylinder_bottle_s640/000582_hold_s15640.json,0.277715,0.0916218,2,train
cylinder_bottle_s640,001517_handover_another_s15640,cylinder_bottle,handover,data/oakink_shadow_dataset_valid_force_noise_accept_1/cylinder_bottle_s640/001517_handover_another_s15640.json,0.277715,0.0916218,17,train
cylinder_bottle_s640,000123_handover_another_s15640,cylinder_bottle,handover,data/oakink_shadow_dataset_valid_force_noise_accept_1/cylinder_bottle_s640/000123_handover_another_s15640.json,0.277715,0.0916218,5,train
cylinder_bottle_s640,002698_handover_another_s15640,cylinder_bottle,handover,data/oakink_shadow_dataset_valid_force_noise_accept_1/cylinder_bottle_s640/002698_handover_another_s15640.json,0.277715,0.0916218,1,train
cylinder_bottle_s640,000746_liftup_s15640,cylinder_bottle,liftup,data/oakink_shadow_dataset_valid_force_noise_accept_1/cylinder_bottle_s640/000746_liftup_s15640.json,0.277715,0.0916218,15,train
cylinder_bottle_s640,001787_liftup_s15640,cylinder_bottle,liftup,data/oakink_shadow_dataset_valid_force_noise_accept_1/cylinder_bottle_s640/001787_liftup_s15640.json,0.277715,0.0916218,17,train
cylinder_bottle_s640,001391_liftup_s15640,cylinder_bottle,liftup,data/oakink_shadow_dataset_valid_force_noise_accept_1/cylinder_bottle_s640/001391_liftup_s15640.json,0.277715,0.0916218,17,train
cylinder_bottle_s640,002966_use_s15640,cylinder_bottle,use,data/oakink_shadow_dataset_valid_force_noise_accept_1/cylinder_bottle_s640/002966_use_s15640.json,0.277715,0.0916218,15,train
cylinder_bottle_s640,003768_use_s15640,cylinder_bottle,use,data/oakink_shadow_dataset_valid_force_noise_accept_1/cylinder_bottle_s640/003768_use_s15640.json,0.277715,0.0916218,8,train
cylinder_bottle_s640,000443_use_s15640,cylinder_bottle,use,data/oakink_shadow_dataset_valid_force_noise_accept_1/cylinder_bottle_s640/000443_use_s15640.json,0.277715,0.0916218,15,train
omo_cleaner,000616_handover_O01000,trigger_sprayer,handover,data/oakink_shadow_dataset_valid_force_noise_accept_1/omo_cleaner/000616_handover_O01000.json,0.20491,0.0656105,2,train
omo_cleaner,000628_handover_O01000,trigger_sprayer,handover,data/oakink_shadow_dataset_valid_force_noise_accept_1/omo_cleaner/000628_handover_O01000.json,0.20491,0.0656105,14,train
omo_cleaner,000640_handover_O01000,trigger_sprayer,handover,data/oakink_shadow_dataset_valid_force_noise_accept_1/omo_cleaner/000640_handover_O01000.json,0.20491,0.0656105,2,train
omo_cleaner,000672_use_O01000,trigger_sprayer,use,data/oakink_shadow_dataset_valid_force_noise_accept_1/omo_cleaner/000672_use_O01000.json,0.20491,0.0656105,2,train
omo_cleaner,000636_liftup_O01000,trigger_sprayer,liftup,data/oakink_shadow_dataset_valid_force_noise_accept_1/omo_cleaner/000636_liftup_O01000.json,0.20491,0.0656105,17,train
omo_cleaner,000668_liftup_O01000,trigger_sprayer,liftup,data/oakink_shadow_dataset_valid_force_noise_accept_1/omo_cleaner/000668_liftup_O01000.json,0.20491,0.0656105,14,train
omo_cleaner,000656_hold_O01000,trigger_sprayer,hold,data/oakink_shadow_dataset_valid_force_noise_accept_1/omo_cleaner/000656_hold_O01000.json,0.20491,0.0656105,14,train
omo_cleaner,000624_hold_O01000,trigger_sprayer,hold,data/oakink_shadow_dataset_valid_force_noise_accept_1/omo_cleaner/000624_hold_O01000.json,0.20491,0.0656105,5,train
cylinder_bottle_s544,006640_use_s15544,cylinder_bottle,use,data/oakink_shadow_dataset_valid_force_noise_accept_1/cylinder_bottle_s544/006640_use_s15544.json,0.1446802,0.1039676,16,test
