code,feat_0,feat_1,feat_2,feat_3,feat_4,feat_5,feat_6,feat_7,feat_8,feat_9,feat_10,feat_11,feat_12,feat_13,feat_14,feat_15,feat_16,feat_17,feat_18,feat_19,feat_20,feat_21,feat_22,feat_23,feat_24,feat_25,feat_26,feat_27,feat_28,feat_29,feat_30,feat_31,feat_32,feat_33,feat_34,feat_35,feat_36,feat_37,feat_38,feat_39,feat_40,feat_41,feat_42,feat_43,feat_44,feat_45,feat_46,feat_47,feat_48,feat_49,feat_50,feat_51,feat_52,feat_53,feat_54,feat_55,feat_56,feat_57,feat_58,feat_59,feat_60,feat_61,feat_62,feat_63,feat_64,feat_65,feat_66,feat_67,feat_68,feat_69,feat_70,feat_71,feat_72,feat_73,feat_74,feat_75,feat_76,feat_77,feat_78,feat_79,feat_80,feat_81,feat_82,feat_83,feat_84,feat_85,feat_86,feat_87,feat_88,feat_89,feat_90,feat_91,feat_92,feat_93,feat_94,feat_95,feat_96,feat_97,feat_98,feat_99,feat_100,feat_101,feat_102,feat_103,feat_104,feat_105,feat_106,feat_107,feat_108,feat_109,feat_110,feat_111,feat_112,feat_113,feat_114,feat_115,feat_116,feat_117,feat_118,feat_119,feat_120,feat_121,feat_122,feat_123,feat_124,feat_125,feat_126,feat_127
006_mustard_bottle,0.000979552,-0.30720955,0.27623522,0.33565804,-0.5326941,0.16238634,-0.048917167,-0.2520986,0.12989572,0.5443705,0.40358332,0.38577497,-0.035037648,-0.0070857774,0.18534431,0.551335,0.12198776,0.15297042,0.48259515,-0.076088004,-0.2554058,-0.12605007,0.5310828,0.60452294,0.46279335,-0.0042914003,0.26065153,0.36307165,0.36664245,0.7616525,0.8230328,0.3027808,-0.28090748,0.53971964,-0.26215607,0.094214186,-0.30635414,-0.089565024,0.6678307,0.466515,0.83202654,0.09942828,-0.13384144,0.92142946,0.4270319,-0.08382314,0.23717207,-0.11017451,0.31796336,0.14941043,0.5155756,0.30554754,0.35037765,-0.29700395,0.0736783,0.048173495,-0.0057278275,0.11453641,-0.13279252,-0.07134823,0.6233984,-0.05341936,0.1732369,0.015242521,0.36574945,0.39254785,0.2782903,0.57510567,-0.024676766,1.0141118,-0.097210534,-0.105651505,0.79269373,-0.03685994,0.23677464,0.7832425,0.8069687,-0.073298946,-0.071273945,0.13333696,0.22775583,0.1907376,0.10093562,-0.41541737,0.3423779,0.19141877,-0.15611053,-0.020052103,0.7110258,-0.032728918,0.3294862,0.24185166,-0.17832346,0.075374484,0.20991325,-0.2309924,-0.05266914,-0.05972942,0.112080306,-0.4130009,0.19210741,0.32575083,0.28254694,0.39654002,0.21670607,0.38602516,0.18354811,-0.173881,0.26256517,0.025213882,-0.33310843,-0.073577665,0.44467103,0.37720114,0.16895963,-0.10921405,0.551076,-0.25709984,-0.003466282,0.4426297,-0.014437281,0.29134855,0.18851537,-0.0732789,0.46948093,-0.012167862,0.37993598,0.26426235
021_bleach_cleanser,-0.02354157,-0.2925327,0.34782228,0.44405663,-0.45800152,0.4673898,-0.17514032,-0.21997435,-0.070732236,0.33413082,0.22730298,0.4909546,0.017568113,0.02920118,0.14006186,0.46930674,0.15070239,0.14631662,0.35620067,0.046731822,-0.20622198,0.16412921,0.49095005,0.31661448,0.42134377,0.37994814,0.2689174,0.4650955,0.20396489,0.5750485,0.9896085,0.39612374,-0.050076928,0.55758935,-0.13704525,-0.10154908,-0.34009978,0.15563716,0.3835142,0.42614526,0.11839916,0.10851647,-0.05162784,0.7104174,0.42222446,-0.20735484,0.1742059,-0.22474588,0.56828004,0.44327682,0.4819402,0.35227528,0.32708094,-0.18951212,0.07390165,-0.041749563,0.031362865,-0.15614344,-0.037135944,0.07265088,0.17714311,0.34485346,0.093472354,0.2408267,0.22396606,0.4045518,0.18761133,0.60874736,-0.17256309,0.7396193,-0.1653615,-0.16889286,0.5263847,-0.092709385,0.23374127,0.5413038,0.5339048,0.066615,-0.05635915,0.044586428,-0.12031528,0.07081922,0.34910506,-0.12981944,0.31429964,0.17349333,-0.20658052,0.008221575,0.62337226,0.25981998,0.32952332,0.17610323,0.0094645545,0.12758654,-0.09824567,-0.25213107,0.20255366,0.09108596,0.15093987,-0.2682082,0.63342065,0.18997706,0.36040774,0.65614176,0.47185445,0.50662816,-0.11799781,-0.204603,0.47690222,-0.2824989,-0.2687317,0.18150365,0.30266824,0.04928568,0.30475605,-0.13051647,0.5069672,-0.49549448,0.08112117,0.13582754,0.13003176,0.14452061,0.2391508,-0.043714967,0.45112348,0.12724514,0.24814507,0.28002062
035_power_drill,0.26845598,-0.029884689,-0.029872866,1.0145866,-0.3531763,0.7199898,0.51771605,-0.33780375,0.4729136,-0.0656847,0.06522074,0.21819794,0.10616678,0.3332928,0.7483919,0.29541126,1.0996141,-0.100439444,0.26394248,-0.25164515,0.1901737,1.0005251,0.6482509,0.07863666,-0.26278365,0.41399592,-0.21777824,-0.20557961,-0.05317262,0.22984678,-0.4988912,0.04756601,-0.1832397,-0.031135805,0.024333507,-0.34475166,-0.28470826,0.028899103,0.29125205,0.10182251,-0.080218434,0.018082522,0.5839022,0.11015947,0.29178178,0.9817711,0.27259916,-0.2353007,0.5976725,-0.27618372,-0.24524009,0.15991957,1.2739946,0.5042766,0.6321038,0.7739645,0.7915066,1.07206,-0.351176,-0.28659087,-0.11805087,0.97039026,0.06691569,-0.01175807,-0.14516813,0.20006296,-0.27183735,1.2056862,0.6639178,0.24888575,-0.26326913,1.3893803,0.6618224,-0.043544006,0.0103206,-0.20322263,0.37251943,-0.042726163,-0.13668247,0.20621197,-0.080889404,0.17864203,-0.18707487,-0.076005064,-0.6254603,1.0957191,-0.4018203,0.8419616,0.16757128,0.9091309,-0.1497512,-0.07399197,0.5720953,0.21608612,-0.026665546,0.69242865,0.21934201,0.22977822,0.11079934,0.13117486,0.8785903,1.7706974,0.33481187,0.45425034,-0.029776134,0.44326517,0.5635633,-0.082615696,-0.11902402,0.14743587,-0.51825905,0.5717622,0.05907965,0.3586136,0.13314791,0.48349264,-0.05266302,-0.33018124,-0.4892051,0.76053566,0.1687287,-0.027140826,0.38481894,-0.19675635,0.286607,-0.17432207,0.10450579,-0.40420014
037_scissors,0.34122455,-0.46617156,-0.23946832,-0.35641336,-0.6624309,0.12688932,0.40931925,-0.44989228,0.9046948,1.1601735,-0.5422019,1.4312612,0.84655243,-0.35718834,0.77719986,0.03526772,0.29074585,0.27206153,0.24099262,0.07703028,-0.03538133,0.1574832,0.67924964,0.24809465,-0.11716995,-0.18643855,0.026029183,0.011709742,1.033644,0.56134665,0.8516058,-0.4679772,-0.3349923,0.41563278,0.7639552,0.11317696,-0.35640728,0.07235252,0.13129649,0.067108184,0.42642176,-0.108838454,0.29031584,0.82244426,0.9863591,0.03008281,0.22093421,0.9682462,-0.17026937,0.3951762,0.104137324,0.14641938,0.060704876,-0.2604356,0.4519434,0.18099573,0.21402377,0.09359714,0.16968842,-0.08137452,0.5348057,0.22366327,-0.014667622,0.40881371,0.8675056,0.1031269,-0.080794394,0.008402957,0.0010012761,0.18537302,-0.40002093,-0.38953847,0.7228598,1.0589978,-0.17247918,1.0035123,0.8854912,0.82384634,0.013810513,0.030042637,0.14824815,0.16048853,0.04840363,0.21206295,0.14564306,0.04598821,-0.59871423,0.38438004,0.87946564,0.47206506,-0.2802893,-0.25119075,-0.15164039,0.40129614,-0.5043561,-0.16489515,-0.19909354,0.91558784,-0.4356848,-0.29685438,0.4084818,0.38228774,0.29436445,-0.955031,0.17738923,0.9652381,-0.037156425,-0.023178063,-0.26758826,-0.04853235,0.12063341,-0.35753787,1.2470506,0.39227766,0.35018176,1.2015876,-0.14529723,0.48779085,0.37593645,0.2411066,-0.5778574,-0.37327427,0.12080665,-0.13213652,0.11045303,0.73964834,-0.1762673,-0.21821451
binoculars_0,0.4710294,0.34397694,0.37102774,-0.0740889,0.59667146,0.6064926,0.30088,1.0144231,-0.24130732,0.15079331,0.11108488,0.24205661,-0.16002491,0.34045383,0.29680914,0.1429523,-0.00081269816,0.51231945,0.2892665,-0.12705258,0.92197233,0.03939357,0.17315188,-0.108324334,-0.026843127,-0.11576916,0.063448094,1.0275745,0.038690496,-0.1582241,0.09103946,0.12862943,0.31804708,0.10494748,-0.12423537,0.748293,0.4326397,0.370575,-0.03945981,-0.12530887,-0.2740655,0.5860672,0.53882086,-0.15185852,0.17744802,0.3529774,0.1576603,0.052436788,-0.1380139,-0.030378722,0.43121386,0.28588307,0.32286897,-0.20206119,0.07761118,-0.116297334,0.33944017,0.48836276,-0.131038,0.31338468,0.41011998,0.057508033,0.120169245,-0.14576674,0.6922931,-0.08441396,0.09428688,-0.16561249,0.28985414,-0.091298565,0.7173941,-0.016795725,0.036733106,0.88592505,0.6346472,-0.17826524,0.3597932,-0.0082673095,-0.012994511,0.18707041,0.9050929,0.54437065,0.39326608,0.30185038,0.20625761,0.053447895,-0.08208362,0.17166044,0.33912763,-0.14051698,0.36763018,0.26123366,-0.23949869,0.6564391,0.023335226,0.16832271,0.28022704,0.47326806,0.11969862,0.16925134,-0.20629647,0.33475572,0.37750274,-0.09368696,0.06587423,-0.15286386,0.3112414,0.49325472,-0.104989216,0.6361726,0.2893335,0.9167065,0.38770851,-0.24898574,0.09093039,0.1921162,0.058913946,0.81761307,0.22923462,0.064520106,0.4167158,0.65371716,0.5289137,0.68211704,-0.088993795,0.30210212,0.46107438,0.040087607
binoculars_1,-0.10045874,0.73626506,0.28591225,0.89107054,0.34394524,0.4405018,0.86517936,0.5789305,0.36492532,0.021262407,0.22311907,0.54331607,0.20774955,0.5189404,0.26030117,0.238953,0.40514016,0.13858685,0.2328087,-0.03016889,0.11685982,0.31279197,0.33330345,0.5868014,0.86719495,-0.03552401,-0.045303244,0.34427792,0.002995208,-0.07748292,-0.24873026,0.61343324,0.2983092,-0.035264716,0.11680036,0.606305,0.30258328,0.41027793,0.6688067,0.088219486,-0.13740923,0.44668144,0.45972857,0.4334523,-0.14660934,0.3330739,0.4719636,-0.26457763,0.611922,0.026615623,0.1032389,0.38538373,0.24006855,0.09052658,0.27965257,-0.036666855,0.7168892,0.87136143,-0.23953386,0.49828863,0.67834604,0.23118123,0.3150372,-0.43239006,0.108023316,0.5986508,0.49731445,0.32930672,0.406486,0.07810751,0.8676171,-0.06660436,0.35115063,0.45486876,0.92601156,-0.44319472,0.062440325,0.8470718,0.5729447,0.21895885,0.67710143,0.5794224,0.5303811,0.1348536,0.25370216,-0.5133602,-0.048046358,0.10216655,0.14646024,0.4793684,0.45289898,0.5856024,-0.2138172,0.43518993,0.45656472,-0.10306188,0.27565584,-0.012604974,1.0461923,0.5029708,0.085364066,0.07985583,0.22843254,0.27130878,0.57386404,0.47909012,-0.43889925,1.3370355,-0.28179854,0.28118643,0.7149545,0.23200625,0.11347866,0.29070908,0.7616621,0.057593115,0.29475108,-0.12608361,-0.22807086,0.57746834,0.7546351,0.5507951,0.47623217,0.096457854,-0.5902243,0.2862017,0.772368,0.1163325
binoculars_11,-0.15872662,0.5956712,0.35866234,0.14000894,0.5863981,-0.11400609,0.26073256,0.43830228,0.0013103113,0.044049133,0.17086355,0.0430917,-0.11448699,0.10173308,0.08681287,0.77726823,0.3110675,0.24925351,0.54816985,0.13748322,0.4615912,0.10494571,-0.07901358,0.44050625,0.6644512,0.33308107,0.119268686,0.25285393,-0.020689216,0.0052440576,-0.17280531,-0.02542112,0.38892633,0.19685015,-0.04702031,0.5344865,0.34777462,-0.25353348,0.32689106,0.04676357,-0.33770877,0.057341266,0.17249197,-0.08348267,-0.079705864,0.26637363,0.2962555,0.008910733,-0.0855579,0.122148946,0.19073796,0.19101402,-0.40847647,0.015552405,0.024643794,-0.017306188,0.56806636,0.62692076,-0.01603445,0.13103029,0.50123656,-0.015639877,0.10808212,-0.31256342,-0.33024368,0.3449545,0.14216065,0.18822502,0.53908956,0.029762408,0.5800289,0.024747208,0.1605291,1.111053,0.14129439,-0.06788506,-0.10718451,0.11727917,0.43821988,0.20588247,0.637499,0.42416438,0.0063673854,-0.023711886,-0.14136094,0.12665892,-0.16960825,0.15526208,0.04280821,0.37180522,0.07071776,0.2817531,-0.005434081,-0.12157389,0.06346605,0.2960271,-0.027475808,-0.10657135,0.4473961,0.5740699,0.083331086,-0.08958043,0.101787716,0.032283686,0.15794195,0.16424799,0.082914904,0.6463418,0.07618514,0.7011083,0.71903664,0.120479695,-0.041612264,0.23029168,0.37209374,-0.018991899,0.2873693,0.8503018,-0.06632383,0.15647224,0.52904385,0.58147377,0.27028075,0.5554495,-0.27757567,0.09530653,0.34759885,0.2224632
binoculars_12,-0.015031713,0.94821286,0.41162935,0.3666654,0.55616874,0.13520294,0.89097875,0.7885137,-0.06536451,0.09127915,-0.027959537,0.25006524,-0.008187259,0.4521634,0.18147843,0.30594176,0.13176303,0.58125377,-0.06951488,0.04636067,0.41271204,0.41371858,-0.33298624,0.3659906,0.17819408,0.089828506,0.07858592,0.565235,0.04979044,-0.28869003,-0.08225049,0.4679717,0.2563269,-0.03297457,-0.09608888,0.8458544,0.7967132,0.47677755,0.1365582,0.025804766,-0.26794425,0.5744364,0.20997073,0.08405326,-0.17582451,0.2500786,0.20253974,-0.15739988,0.0050725453,0.35942167,0.25364023,0.26160505,0.08329882,0.06498015,0.4094035,-0.111929685,0.9857601,0.6002647,-0.073481165,0.46179554,0.2557568,0.18281229,0.23103166,-0.23641273,0.09740385,0.4069137,0.4719073,-0.0581818,0.6120331,-0.2635898,0.7412375,-0.19693574,0.19401388,0.659304,0.8984854,-0.36303732,-0.07195396,0.50087327,0.4017825,0.21096708,0.83908695,0.4420575,0.399354,0.24837199,0.11845633,-0.3948922,-0.17983614,0.29817307,0.12353224,0.30050525,0.5158827,0.324356,0.12553364,0.096131064,0.17021817,-0.21400738,0.5342713,0.03171059,0.3959695,0.63276553,-0.15181299,0.04001341,-0.060088925,0.16932821,0.4127471,0.39525428,-0.015562989,1.1468141,-0.06580644,0.30018416,0.62340707,0.6410015,0.1462372,-0.00889363,0.8418346,0.06385097,0.08172873,0.26268002,-0.2688208,0.2807425,0.55578697,0.6412426,0.73336136,0.7978218,-0.36110592,0.40449247,0.8512137,0.3120408
binoculars_13,0.14154145,0.80845857,0.56303406,0.012441874,0.5595697,0.21904624,0.5053016,0.59401244,-0.0025477875,0.03215162,0.09468722,0.070491664,0.07794376,0.5242268,0.12816122,0.45541802,-0.092062235,0.42829672,0.15052767,0.06871029,0.48044565,0.16606969,-0.29106656,0.0318883,0.015579324,0.10968514,0.12325442,0.68139184,-0.074862376,-0.12703556,-0.060431443,0.29269615,0.11249511,0.09748283,-0.021017784,0.67771244,0.28138158,0.026722819,0.044849053,0.16861627,-0.13789275,0.19870837,0.4126064,-0.026540123,-0.19124508,0.055954725,0.09647464,-0.17811304,0.041685507,-0.23630506,0.43788052,0.053224828,0.15267219,0.007488366,0.3132106,-0.089369014,0.5770757,0.52327543,-0.029633082,0.2812523,0.21661724,0.14084768,0.20009014,-0.17852531,0.14595395,0.07428281,0.16444616,-0.13436902,0.67540365,-0.36743584,0.57762396,-0.14322951,0.06521768,0.67418706,0.8160781,-0.11622005,-0.0023667328,0.102977484,0.10225347,0.096408814,0.6505109,0.41680843,0.020346973,0.18384306,0.09179548,-0.39908388,-0.07290413,0.118452996,0.068640135,0.066447064,0.14056537,0.0783579,-0.020489968,-0.063424215,-0.08635551,0.06834956,0.111531876,0.07831475,0.48201424,0.31430972,-0.1906233,0.22345084,-0.039727382,-0.0079068,0.22642562,0.020746054,0.08139026,0.7547101,-0.16011119,0.62486815,0.47843236,0.35272324,0.052450415,0.056362435,0.32854068,-0.16522312,0.016294405,0.6968012,-0.16947787,0.4400897,0.79132026,0.71105933,0.47972724,0.7550609,-0.121286504,0.25925478,0.4351171,0.1383896
binoculars_14,-0.09812625,0.4279146,0.36020786,0.31180257,0.45120645,-0.017050002,0.06353938,0.43235403,0.04666192,0.18274571,0.2030718,-0.01232299,-0.14195222,0.20495483,0.05010198,0.6513834,0.42061427,-0.05787863,0.7773069,0.23739585,0.62926304,-0.05833634,-0.00746949,0.3409143,0.8833424,0.19022535,0.07977952,0.27046627,-0.244208,0.08169009,-0.08266714,0.0021531666,0.31392333,0.49252504,0.09063218,0.46388724,-0.064429685,-0.4066115,0.29541326,0.16161025,-0.44487506,-0.16959354,0.300593,-0.19728385,0.14621544,0.35940048,0.5375849,0.047322266,-0.15421554,0.173155,0.25015286,0.26738572,-0.4059823,0.08265619,0.22688445,0.26377484,0.36717048,0.5317817,-0.045353632,0.34478545,0.62284875,-0.032633502,0.12716803,-0.25008014,-0.23147368,0.46764284,0.12949616,0.47663045,0.3020929,0.10966694,0.543055,0.061788596,0.29979607,1.0865159,0.11395177,0.02424619,-0.050732017,-0.13308452,0.21661279,0.13584523,0.6079485,0.3864027,0.2000265,-0.018223837,0.0758559,0.13684693,-0.025533926,-0.039124846,0.11809556,0.46896747,-0.04120861,0.33010498,-0.3250866,0.017300062,0.15643068,0.280818,-0.0066905506,-0.10561989,0.33402997,0.42451033,0.20199992,-0.18575181,0.47225666,0.15624307,0.055698298,0.17091599,0.02336499,0.34293458,0.049894057,0.8899694,0.69167095,0.13966252,-0.13901484,0.31406075,0.13921796,0.21049747,0.26690048,1.1834543,-0.00287975,0.17301202,0.46269596,0.6109063,0.28665888,0.46651068,-0.25399432,-0.027816467,0.22197996,0.5188858
